4	J	2868
11	E	2868
4	R	2868
4	W	2869
8	R	2869
8	J	2884
7	R	2884
7	J	2899
8	R	2899
8	J	2914
7	R	2914
7	J	2929
8	R	2929
10	J	2944
8	J	2944
10	R	2944
10	W	2944
7	R	2944
7	W	2955
8	R	2955
10	J	3045
8	J	3045
10	R	3045
10	E	3045
1	J	3045
1	R	3045
1	W	3045
8	R	3045
7	J	3060
8	J	3060
7	R	3060
3	J	3089
7	J	3089
3	R	3089
3	W	3089
8	R	3089
8	J	3104
7	R	3104
7	J	3119
8	R	3119
8	J	3134
7	R	3134
7	J	3149
8	R	3149
8	J	3164
7	R	3164
7	J	3179
8	R	3179
8	J	3194
7	R	3194
7	J	3209
8	R	3209
8	J	3224
7	R	3224
7	W	3235
8	R	3235
7	J	3340
8	J	3340
7	R	3340
7	E	3340
1	J	3340
1	R	3340
1	W	3340
8	R	3340
4	J	3343
8	J	3355
4	R	3355
4	W	3355
8	R	3355
4	J	3405
8	E	3410
1	J	3410
4	R	3410
4	W	3410
1	R	3410
1	W	3410
0	R	3410
4	J	3479
4	R	3479
4	W	3479
0	R	3479
4	J	3646
4	R	3646
4	W	3646
0	R	3646
4	J	3755
4	R	3755
4	W	3755
0	R	3755
4	J	3817
4	R	3817
4	W	3817
0	R	3817
4	J	3928
4	R	3928
4	W	3928
0	R	3928
4	J	4109
4	R	4109
4	W	4109
0	R	4109
4	J	4178
4	R	4178
4	W	4179
0	R	4179
4	J	4239
4	R	4239
4	W	4239
0	R	4239
4	J	4309
4	R	4309
4	W	4309
0	R	4309
4	J	4740
4	R	4740
4	W	4740
0	R	4740
4	J	4811
4	R	4811
4	W	4811
0	R	4811
4	J	4833
4	R	4833
4	W	4833
0	R	4833
4	J	4934
4	R	4934
4	W	4934
0	R	4934
4	J	5134
4	R	5134
12	N	5135
12	J	5136
4	W	5136
12	R	5136
12	E	5140
4	J	5140
4	R	5140
13	N	5141
13	J	5141
4	W	5142
13	R	5142
4	J	5144
13	E	5144
4	R	5144
4	W	5145
0	R	5145
4	J	5215
4	R	5215
4	W	5215
0	R	5216
4	J	5730
4	R	5730
4	W	5730
0	R	5730
4	J	5818
4	R	5818
4	W	5818
0	R	5818
4	J	5844
4	R	5844
4	W	5844
0	R	5844
4	J	5918
4	R	5918
4	W	5918
0	R	5918
4	J	5973
4	R	5973
4	W	5973
0	R	5973
4	J	6047
4	R	6047
4	W	6047
0	R	6048
4	J	6107
4	R	6107
4	W	6107
0	R	6107
4	J	6183
4	R	6183
4	W	6183
0	R	6184
4	J	6275
4	R	6275
4	E	6277
1	J	6277
1	R	6277
